ID1_CITY,C_NAME,year,total_pop
4307,屏東縣麟洛鄉,2017,477
4308,屏東縣九如鄉,2017,947
4309,屏東縣里港鄉,2017,1317
4310,屏東縣鹽埔鄉,2017,1390
4311,屏東縣高樹鄉,2017,1456
4312,屏東縣萬巒鄉,2017,1249
4313,屏東縣內埔鄉,2017,3337
4314,屏東縣竹田鄉,2017,850
4315,屏東縣新埤鄉,2017,536
4316,屏東縣枋寮鄉,2017,1729
4317,屏東縣新園鄉,2017,1387
4318,屏東縣崁頂鄉,2017,568
4319,屏東縣林邊鄉,2017,1202
4320,屏東縣南州鄉,2017,561
4321,屏東縣佳冬鄉,2017,737
4322,屏東縣琉球鄉,2017,679
4323,屏東縣車城鄉,2017,487
4324,屏東縣滿州鄉,2017,353
4325,屏東縣枋山鄉,2017,308
4326,屏東縣三地鄉,2017,261
4327,屏東縣霧臺鄉,2017,81
4328,屏東縣瑪家鄉,2017,210
4329,屏東縣泰武鄉,2017,146
4330,屏東縣來義鄉,2017,219
4331,屏東縣春日鄉,2017,132
4332,屏東縣獅子鄉,2017,157
4333,屏東縣牡丹鄉,2017,139
4401,澎湖縣馬公市,2017,4996
4402,澎湖縣湖西鎮,2017,232
4403,澎湖縣白沙鄉,2017,109
4404,澎湖縣西嶼鄉,2017,122
4405,澎湖縣望安鄉,2017,62
4406,澎湖縣七美鄉,2017,43
4501,花蓮縣花蓮市,2017,10099
4502,花蓮縣鳳林鎮,2017,606
4503,花蓮縣玉里鎮,2017,1487
4504,花蓮縣新城鄉,2017,1186
4505,花蓮縣吉安鄉,2017,4047
4506,花蓮縣壽豐鄉,2017,1078
4507,花蓮縣光復鄉,2017,752
4508,花蓮縣豐濱鄉,2017,184
4509,花蓮縣瑞穗鄉,2017,591
4510,花蓮縣富里鄉,2017,612
4511,花蓮縣秀林鄉,2017,557
4512,花蓮縣萬榮鄉,2017,193
4513,花蓮縣卓溪鄉,2017,197
4601,台東縣台東市,2017,7907
4602,台東縣成功鎮,2017,850
4603,台東縣關山鎮,2017,555
4604,台東縣卑南鄉,2017,621
4605,台東縣大武鄉,2017,214
4606,台東縣太麻里,2017,782
4607,台東縣東河鄉,2017,503
4608,台東縣長濱鄉,2017,402
4609,台東縣鹿野鄉,2017,556
4610,台東縣池上鄉,2017,503
4611,台東縣綠島鄉,2017,128
4612,台東縣延平鄉,2017,104
4613,台東縣海端鄉,2017,116
4614,台東縣達仁鄉,2017,122
4615,台東縣金峰鄉,2017,142
4616,台東縣蘭嶼鄉,2017,245
0101,臺北市松山區,2018,40842
0102,臺北市大安區,2018,48582
0109,臺北市大同區,2018,19601
0110,臺北市中山區,2018,63215
0111,臺北市內湖區,2018,43519
0112,臺北市南港區,2018,17690
0115,臺北市士林區,2018,19501
0116,臺北市北投區,2018,16155
0117,臺北市信義區,2018,36040
0118,臺北市中正區,2018,48207
0119,臺北市萬華區,2018,20665
0120,臺北市文山區,2018,12496
0301,臺中市豐原區,2018,14744
